id_product_erp,id_product_mariadb,nombre_prestashop,nombre_erp,referencia,ean13,codigo_match,grupo_erp_nivel_1,grupo_erp_nivel_2,grupo_erp_nivel_4,grupo_erp_nivel_6,grupo_erp_nivel_7,grupo_prestashop,subgrupo_prestashop,unidad_erp,unidad_mariadb_inferida,factor_conversion_precio,inventario_erp_192_168_0_231,inventario_para_mariadb,inventario_mariadb,pendiente,final_sync,precio_mariadb,precio_erp,precio_para_mariadb,pum_fuente,pum_unidad,pum_ratio,pum_precio_unitario,otras_listas_precios_erp,servidor_sync,fecha_ultima_compra_erp,cantidad_ultima_compra_erp,valor_ultima_compra_erp,accion
"000066",15,"Coco Unidad","COCO UNIDAD","66","66","66","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","UND","UND",1.000000,178,178,178,0,178,6950.00,6950.00,6950.00,"PRESTASHOP_EXISTENTE","Unidad",1.144737,6071.263530,"Lista 1: 6950.00000000",192.168.0.231,"2026-06-16","150.00000000","5200.0000",ACTUALIZAR_PUM
"000004",16,"Agras Paquete","AGRAZ PAQUETE","4","4","4","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,69,69,68,0,69,7800.00,7800.00,7800.00,"PRESTASHOP_EXISTENTE","Gramo",94.387755,82.637838,"Lista 1: 7800.00000000",192.168.0.231,"2026-06-16","40.00000000","5500.0000",ACTUALIZAR_STOCK_PUM
"000167",17,"Curuba X500 gr","CURUBA KILO","167","167","167","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,220.78,441,196,0,441,2900.00,5800.00,2900.00,"PLANILLA_PUM","Gramo",500.000000,5.800000,"Lista 1: 5800.00000000",192.168.0.231,"2026-06-19","57.00000000","4210.5263",ACTUALIZAR_STOCK
"017761",18,"Patilla Baby X2500 gr","PATILLA BABY KILO","17761","17761","17761","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","2500 G",2.500000,884.47,353,983,0,353,8750.00,3500.00,8750.00,"PLANILLA_PUM","Gramo",2500.000000,3.500000,"Lista 1: 3500.00000000",192.168.0.231,"2026-06-19","160.00000000","2300.0000",ACTUALIZAR_STOCK
"017895",19,"Zapote X500 gr","ZAPOTE KILO","17895","17895","17895","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,93.79,187,93,0,187,3800.00,7600.00,3800.00,"PLANILLA_PUM","Gramo",500.000000,7.600000,"Lista 1: 7600.00000000",192.168.0.231,"2026-04-18","130.00000000","5307.6923",ACTUALIZAR_STOCK
"000094",20,"Naranja Valencia X500 gr","NARANJA VALENCIA KILO","94","94","94","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,385.45,770,159,0,770,1800.00,3600.00,1800.00,"PLANILLA_PUM","Gramo",500.000000,3.600000,"Lista 1: 3600.00000000",192.168.0.231,"2026-06-13","200.00000000","2450.0000",ACTUALIZAR_STOCK
"000062",21,"Manzana Nacional X500 gr","MANZANA NACIONAL KILO","62","62","62","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,261.30,522,243,0,522,5150.00,10300.00,5150.00,"PLANILLA_PUM","Gramo",500.000000,10.300000,"Lista 1: 10300.00000000",192.168.0.231,"2026-06-17","78.00000000","6153.8462",ACTUALIZAR_STOCK
"000111",22,"Kiwi Bandeja","KIWI BANDEJA","111","0000111","0000111","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,89,89,92,0,89,9700.00,9700.00,9700.00,"PRESTASHOP_EXISTENTE","Gramo",500.000000,19.400000,"Lista 1: 9700.00000000",192.168.0.231,"2026-06-19","40.00000000","7000.0000",ACTUALIZAR_STOCK_PUM
"000069",23,"Uchuva en Canastilla","UCHUVA CANASTILLA","69","69","69","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,66,66,86,0,66,2600.00,2600.00,2600.00,"PRESTASHOP_EXISTENTE","Gramo",250.000000,10.400000,"Lista 1: 2600.00000000",192.168.0.231,"2026-06-19","45.00000000","1500.0000",ACTUALIZAR_STOCK_PUM
"000058",24,"Pitaya Bandeja","PITAYA BANDEJA","58","58","58","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,1,1,1,0,1,4350.00,4350.00,4350.00,"PRESTASHOP_EXISTENTE","Gramo",402.777778,10.800000,"Lista 1: 4350.00000000",192.168.0.231,"","","",SIN_CAMBIO
"000082",25,"Banano Bocadillo X500 gr","BANANO BOCADILLO KILO","82","82","82","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,467.91,935,460,0,935,2200.00,4400.00,2200.00,"PLANILLA_PUM","Gramo",500.000000,4.400000,"Lista 1: 4400.00000000",192.168.0.231,"2026-06-19","60.00000000","3200.0000",ACTUALIZAR_STOCK
"000175",26,"Jengibre en Bandeja","JENGIBRE BANDEJA","175","175","175","01 FRUTAS Y VERDURAS","0103 TUBERCULOS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,133,133,129,0,133,2900.00,2900.00,2900.00,"PRESTASHOP_EXISTENTE","Gramo",272.727273,10.633333,"Lista 1: 2900.00000000",192.168.0.231,"2026-06-19","80.00000000","1750.0000",ACTUALIZAR_STOCK_PUM
"000117",27,"Pera Bandeja X5 Unidades","PERA BANDEJA 5U","117","117","117","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,0,0,0,0,0,7000.00,7000.00,7000.00,"INFERIDO_NOMBRE","Unidad",5.000000,1400.000000,"Lista 1: 7000.00000000",192.168.0.231,"","","",ACTUALIZAR_PUM
"000127",28,"Ciruela Bandeja","CIRUELA BANDEJA","127","0000127","0000127","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,552,552,494,0,552,2750.00,2750.00,2750.00,"PLANILLA_PUM","Gramo",5000.000000,0.550000,"Lista 1: 2750.00000000",192.168.0.231,"2026-06-19","96.00000000","1875.0000",ACTUALIZAR_STOCK
"018420",29,"Aguacate Haz Bandeja","AGUACATE HASS BANDEJA","18420","18420","18420","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,540,540,380,0,540,3600.00,3600.00,3600.00,"PRESTASHOP_EXISTENTE","Gramos",533.898305,6.742857,"Lista 1: 3600.00000000",192.168.0.231,"2026-06-19","300.00000000","2400.0000",ACTUALIZAR_STOCK_PUM
"000068",32,"Uva de Castilla XL X500 gr","UVA DE CASTILLA XL BANDEJA KILO","68","68","68","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,28.12,56,19,0,56,11500.00,23000.00,11500.00,"PLANILLA_PUM","Gramo",500.000000,23.000000,"Lista 1: 23000.00000000",192.168.0.231,"2026-06-19","8.00000000","17500.0000",ACTUALIZAR_STOCK
"000137",33,"Arándano Bandeja X125 gr","ARANDANOS ESTUCHE 125G","137","137","137","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,4,4,5,0,4,8300.00,8300.00,8300.00,"PLANILLA_PUM","Gramo",125.000000,66.400000,"Lista 1: 8300.00000000",192.168.0.231,"2026-06-17","35.00000000","6500.0000",ACTUALIZAR_STOCK
"000071",34,"Uva Isabella Extra Bandeja","UVA ISABELLA BANDEJA","71","71","71","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,323,323,404,0,323,2750.00,2750.00,2750.00,"PRESTASHOP_EXISTENTE","Gramo",400.000000,6.875000,"Lista 1: 2750.00000000",192.168.0.231,"2026-06-19","150.00000000","2160.0000",ACTUALIZAR_STOCK_PUM
"000089",36,"Pera Chilena Unidad","PERA CHILE UNIDAD","89","89","89","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","UND","UND",1.000000,94,94,98,0,94,1900.00,1900.00,1900.00,"PRESTASHOP_EXISTENTE","Unidad",1.000000,1900.000000,"Lista 1: 1900.00000000",192.168.0.231,"2026-06-17","100.00000000","1400.0000",ACTUALIZAR_STOCK_PUM
"000076",37,"Kiwi X500 gr","KIWI KILO","76","76","76","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,28.45,56,37,0,56,10500.00,21000.00,10500.00,"PLANILLA_PUM","Gramo",1000.000000,10.500000,"Lista 1: 21000.00000000",192.168.0.231,"2026-06-19","9.00000000","15555.5556",ACTUALIZAR_STOCK
"000100",38,"Pitaya X500 gr","PITAYA KILO","100","0000100","0000100","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,241.53,483,240,0,483,4900.00,9800.00,4900.00,"PLANILLA_PUM","Gramo",500.000000,9.800000,"Lista 1: 9800.00000000",192.168.0.231,"2026-06-18","100.00000000","6000.0000",ACTUALIZAR_STOCK
"000073",39,"Guanabana X4000 gr","GUANABANA KILO","73","73","73","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","4000 G",4.000000,424.05,106,450,0,106,18800.00,4700.00,18800.00,"PLANILLA_PUM","Gramo",4000.000000,4.700000,"Lista 1: 4700.00000000",192.168.0.231,"2026-06-19","160.00000000","3500.0000",ACTUALIZAR_STOCK
"000081",40,"Aguacate Hass X500 gr","AGUCATE HASS","81","81","81","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,1214.37,2428,1047,0,2428,5000.00,10000.00,5000.00,"PLANILLA_PUM","Gramo",500.000000,10.000000,"Lista 1: 10000.00000000",192.168.0.231,"2026-06-19","200.00000000","6500.0000",ACTUALIZAR_STOCK
"000158",41,"Fresas en Bandeja","FRESA BANDEJA","158","158","158","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,397,397,338,0,397,6900.00,6900.00,6900.00,"PLANILLA_PUM","Gramo",450.000000,15.333333,"Lista 1: 6900.00000000",192.168.0.231,"2026-06-19","57.00000000","5263.1579",ACTUALIZAR_STOCK
"000016",42,"Durazno Nacional X500 gr","DURAZNO NACIONAL KILO","16","16","16","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,1060.68,2121,1128,0,2121,3950.00,7900.00,3950.00,"PLANILLA_PUM","Gramo",500.000000,7.900000,"Lista 1: 7900.00000000",192.168.0.231,"2026-06-19","120.00000000","6000.0000",ACTUALIZAR_STOCK
"000142",43,"Aguacate Papelillo X500 gr","AGUCATE KILO","142","142","142","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,498.46,996,273,0,996,7150.00,14300.00,7150.00,"PLANILLA_PUM","Gramo",500.000000,14.300000,"Lista 1: 14300.00000000",192.168.0.231,"2026-06-19","300.00000000","9200.0000",ACTUALIZAR_STOCK
"000173",44,"Guayaba Pera X500 gr","GUAYABA PERA KILO","173","173","173","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,700.83,1401,843,0,1401,3400.00,6800.00,3400.00,"PLANILLA_PUM","Gramo",500.000000,6.800000,"Lista 1: 6800.00000000",192.168.0.231,"2026-06-19","180.00000000","4833.3333",ACTUALIZAR_STOCK
"000172",45,"Granadilla X500 gr","GRANADILLA KILO","172","172","172","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,305.72,611,206,0,611,6950.00,13900.00,6950.00,"PLANILLA_PUM","Gramo",500.000000,13.900000,"Lista 1: 13900.00000000",192.168.0.231,"2026-06-19","60.00000000","9833.3333",ACTUALIZAR_STOCK
"000164",46,"Manzana Royal Bolsa","MANZANA PAQUETE","164","164","164","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,401,401,397,0,401,8900.00,8900.00,8900.00,"PRESTASHOP_EXISTENTE","Gramo",600.000000,14.833333,"Lista 1: 8900.00000000",192.168.0.231,"2026-06-18","95.00000000","7894.7368",ACTUALIZAR_STOCK_PUM
"000161",47,"Banano Criollo X500gr","BANANO KILO","161","161","161","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,40.20,80,137,0,80,1750.00,3500.00,1750.00,"PLANILLA_PUM","Gramo",500.000000,3.500000,"Lista 1: 3500.00000000",192.168.0.231,"2026-06-17","200.00000000","2300.0000",ACTUALIZAR_STOCK
"000112",48,"Tomate de Árbol X500 gr","TOMATE ARBOL KILO","112","0000112","0000112","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,902.36,1804,898,0,1804,3650.00,7300.00,3650.00,"PLANILLA_PUM","Gramo",500.000000,7.300000,"Lista 1: 7300.00000000",192.168.0.231,"2026-06-17","185.00000000","4400.0000",ACTUALIZAR_STOCK
"000095",49,"Naranja Tangelo X500gr","NARANJA TANGELO KILO","95","95","95","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,544.20,1088,688,0,1088,3500.00,7000.00,3500.00,"PLANILLA_PUM","Gramo",500.000000,7.000000,"Lista 1: 7000.00000000",192.168.0.231,"2026-06-19","264.00000000","1666.6667",ACTUALIZAR_STOCK
"000092",50,"Mora X500 gr","MORA KILO","92","92","92","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,159.19,318,136,0,318,4600.00,9200.00,4600.00,"PLANILLA_PUM","Gramo",92.000000,50.000000,"Lista 1: 9200.00000000",192.168.0.231,"2026-06-19","60.00000000","7000.0000",ACTUALIZAR_STOCK
"000091",51,"Melón Cantaloupe X2000 gr","MELON CATALUPE KILO","91","91","91","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","2000 G",2.000000,1527.96,763,1496,0,763,6000.00,3000.00,6000.00,"PLANILLA_PUM","Gramo",2000.000000,3.000000,"Lista 1: 3000.00000000",192.168.0.231,"2026-06-19","300.00000000","2000.0000",ACTUALIZAR_STOCK
"000090",52,"Maracuyá X500gr","MARACUYA KILO","90","90","90","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,559.28,1118,671,0,1118,3450.00,6900.00,3450.00,"PLANILLA_PUM","Gramo",500.000000,6.900000,"Lista 1: 6900.00000000",192.168.0.231,"2026-06-19","300.00000000","4666.6667",ACTUALIZAR_STOCK
"000084",53,"Mango De Azúcar X500gr","MANGO COMUN AZUCAR KILO","84","84","84","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,1057.73,2115,1038,0,2115,4900.00,9800.00,4900.00,"PLANILLA_PUM","Gramo",1000.000000,4.900000,"Lista 1: 9800.00000000",192.168.0.231,"2026-06-18","84.00000000","7142.8571",ACTUALIZAR_STOCK
"000083",54,"Mango Tommy X500gr","MANGO TOMY KILO","83","83","83","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,2004.30,4008,1780,0,4008,5300.00,10600.00,5300.00,"PLANILLA_PUM","Gramo",500.000000,10.600000,"Lista 1: 10600.00000000",192.168.0.231,"2026-06-19","330.00000000","7787.8788",ACTUALIZAR_STOCK
"000063",55,"Papaya Maraol X2000gr","PAPAYA MARADOL KILO","63","63","63","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","2000 G",2.000000,2944.54,1472,2476,0,1472,4000.00,2000.00,4000.00,"PLANILLA_PUM","Gramo",2000.000000,2.000000,"Lista 1: 2000.00000000",192.168.0.231,"2026-06-18","1.00000000","1300.0000",ACTUALIZAR_STOCK
"000043",56,"Manzana Verde Bandeja X6 Unidades","MANZANA BANDEJA VERDE 6UND","43","43","43","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","BAN","BAN",1.000000,178,178,172,0,178,8900.00,8900.00,8900.00,"INFERIDO_NOMBRE","Unidad",6.000000,1483.333333,"Lista 1: 8900.00000000",192.168.0.231,"2026-06-18","87.00000000","6206.8966",ACTUALIZAR_STOCK_PUM
"000033",57,"Naranja Sweet en Malla","NARANJA PAQUETE","33","33","33","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,131,131,147,0,131,6300.00,6300.00,6300.00,"PRESTASHOP_EXISTENTE","Gramos",2533.333333,2.486842,"Lista 1: 6300.00000000",192.168.0.231,"2026-06-17","400.00000000","5000.0000",ACTUALIZAR_STOCK_PUM
"000032",58,"Mandarina Arrayana X500gr","MANDARINA ARRAYANA KILO","32","32","32","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,950.02,1900,1022,0,1900,2900.00,5800.00,2900.00,"PLANILLA_PUM","Gramo",500.000000,5.800000,"Lista 1: 5800.00000000",192.168.0.231,"2026-06-19","315.00000000","4285.7143",ACTUALIZAR_STOCK
